7:70019,122082,121546,121286,120881,115124,115106,107720,106282,101257
18:85561,74420,63512,118809,118347,108445,107888,102122,97302,93742
19:59083,19480,88259,10285,1084,1132,918,127,98,741
36:81497,121858,116722,94553,93451,87617,72884,68261,65767,62656
37:10520,57491,16288,1239,296,17,6009,84,73168,9617
41:104002,112150,87089,106283,120074,89544,69913,96281,119363,116614
42:2193,35036,131,3824,3642,62137,1102,7451,2008,14202
43:63621,59899,29732,35,19,98,2983,123139,122580,122521
44:10,18,7,11,35,19,3,14,15,8
45:110820,117814,83367,79096,74038,65088,65060,61381,56414,33237
46:103366,73963,106530,104985,90907,76091,73617,72872,18,10
59:75986,87617,114180,59195,96284,89666,84326,74120,116671,101760
60:109443,59491,101975,92517,78031,77939,76509,71690,70019,69231
69:10,18,11,7,3,14,59107,35,19,86607
70:117860,91088,81381,68787,65593,62686,59931,68,53699,80
94:9617,6270,20553,95138,11174,119,322,8276,559,85755
106:18,10,35,19,7,11,3,14,8,15
115:10,18,7,3,14,8,15,121186,108647,80239
116:118640,129,96903,98,68,78,117339,113675,113587,105961
142:10,7,35,19,3,14,68,8,86031,81833
143:86747,49245,10,11,18,17,3,14,7,8
148:75313,68,107561,99822,90488,89484,81437,79743,71963,71375
150:122764,120745,110540,109299,107154,104660,101211,92760,92356,91807
156:112646,91943,85727,85488,84453,83157,81674,75772,69276,67357
161:95175,96281,112471,98288,80239,74027,121186,119410,118488,117892
171:120835,117974,114396,108597,104209,103807,99556,99426,95850,83458
172:110855,102071,18,10,121916,119298,115867,112306,110715,109560
174:103672,90200,82864,74620,68438,33107,4608,20582,80,68
177:94184,69908,123322,112340,111677,110132,109522,108831,95329,83292
196:18,10,87258,70640,68780,7,35,19,122002,121857
202:10,18,7,68,35,19,11,111456,88133,84326
211:121647,118581,117058,115885,106950,102047,97746,84203,81704,73814
217:97895,76597,112646,99688,91943,85727,85488,84453,83157,81674
220:64973,58738,40356,93455,58456,45641,39446,10178,186,22713
223:10,18,11,7,86334,3,14,38851,119821,118432
224:119138,112946,107875,103161,97354,87041,80776,68162,65833,64336
225:116595,62117,79842,119373,98425,95028,75086,71168,71043,59709
228:95207,122002,121857,121366,121216,120468,120294,119671,119412,118817
229:18,10,122145,120773,120255,117340,112888,110223,106013,101676
231:107022,113600,108739,108549,106136,104332,95969,92932,59997,56614
232:120622,109145,108129,100265,99135,86134,85366,83516,78975,77677
238:400,174,67924,98,160,68,120274,113860,112002,106885
241:119609,112624,10,18,120713,120269,119129,116663,116523,111422
245:40012,226,68,81,98,180,70,217,229,169
249:95976,77917,123185,122558,120247,120107,119700,115736,112228,108954
250:70019,51027,122598,122595,121286,115124,115106,112485,108350,107720
253:68990,113702,110929,107742,106333,106128,101322,98873,97270,84754
257:35,19,18,17,10,7,11,97765,3,14
272:117508,104521,64952,64081,52617,43248,28305,99234,80239,70019
273:95175,116341,109378,106010,105185,101891,98876,96281,94675,93622
288:120784,120011,115278,112047,97995,92699,86031,82026,81833,74129
290:91964,71237,121630,116199,116016,115363,109041,106269,104062,103035
291:121725,97158,93030,79463,73005,58438,54443,40777,26067,24958
292:18,10,95175,80239,70019,7,11,35,19,3
294:121186,96005,81222,72041,68261,62656,60986,10,18,17
328:319,123115,123050,122637,122614,122490,122111,121997,121573,121344
331:58471,35954,30747,29745,18525,12362,5511,108648,98172,38177
345:77581,62840,29573,11401,1754,244,35,19,9,610
361:122463,122330,115708,110599,109452,108481,107631,107343,106836,105590
376:121686,121616,114221,88853,73564,73226,67209,65477,63765,58393
384:10,18,17,97723,83528,78584,72154,69241,68573,67548
401:112876,110969,64982,59439,100501,78364,123144,121844,121546,121500
402:79409,70019,121286,120013,115124,115106,114054,112762,109952,108585
410:129,113702,104468,100834,95211,91694,84711,81337,76026,71157
448:70146,101117,35,19,18,116721,110038,99425,88680,86017
449:35,19,18,17,7,10,119420,107442,99905,91835
450:8105,116,9525,193,65,25061,53377,990,8276,1039
452:85485,122328,120649,119286,118142,112550,106548,104525,104151,102658
476:115418,112314,91787,77594,71577,69277,123072,122359,122173,121437
488:10,18,17,7,3,80897,77327,14,122499,115738
490:10,17,18,11,7,3,14,15,58633,123304
494:97671,66556,122420,118911,108980,102071,94289,91334,81754,123218
500:122741,120480,120248,120150,119999,118895,118831,118631,117739,116433
514:84444,75827,57750,35,19,119488,86559,79757,65642,244
525:112366,110051,109665,105967,105559,103830,98951,91315,84626,82002
535:17,10,121286,115124,115106,107720,98986,97938,92761,80239
536:96418,70019,116897,114524,97606,94024,90261,79187,74099,120269
538:76088,122958,121500,121449,120640,119738,119126,117700,117041,116825
539:35,19,18,17,122420,120265,118895,115795,112905,112500
564:115106,70019,121286,115124,113190,109578,107720,101489,98986,97938
582:65615,120539,117534,114192,113938,113827,112005,110987,109378,107230
585:95375,118397,118269,117870,114950,114619,114230,109469,106714,106258
590:22912,120784,120011,115278,112047,110586,101805,97995,97938,94521
601:31717,121660,121234,118676,105155,94414,90819,90054,75023,69110
618:55430,122720,122213,122137,121365,121258,120563,120558,119955,119708
624:76088,122958,121500,121449,120640,119738,119126,117700,117041,116825
627:42376,114599,77531,35,19,18,17,7,51158,129
628:84119,75280,65861,21488,39233,6526,10,11,18,17
632:5246,105237,68,98,129,80,78,27,45,67
633:120938,118092,115645,114721,113263,112063,111017,110757,110102,107116
634:123260,122961,122912,122137,121365,120563,119689,119532,118864,118672
646:88367,117794,101945,83231,65568,119234,117196,117090,115741,115663
666:88204,129,73181,121936,121639,120761,120757,120733,117560,116054
667:105015,90093,88499,70006,64660,62404,121858,121699,121056,120360
669:103046,98042,94180,74425,51119,16439,117496,111861,111524,84774
678:71183,67847,64991,119173,116367,105185,103893,103054,98876,94675
680:123200,121531,119827,118457,116895,115740,115629,109091,106453,105916
681:76088,122958,121500,121449,120640,119738,119126,117700,117041,116825
682:2614,26376,2460,336,19236,44,18867,14498,40716,709
683:112536,97127,71448,69187,45128,244,80,9,98,45
684:74686,69720,54703,30357,29161,35577,32348,25405,22890,64022
715:21926,82049,25188,129,68,145,45,121981,114111,112858
716:103364,97020,95738,93555,92440,91586,86445,86016,82253,77170
741:120393,106310,105597,88647,86896,129,123064,122199,122112,120307
750:2369,2059,34508,1217,84361,14129,19963,1382,65199,2200
754:17,10,18,120784,120011,115278,112047,97995,92699,86031
756:79942,78112,123161,102193,94672,88061,82519,81733,80348,70019
757:244,9,45,338,299,154,228,98,4,122666
758:79423,70858,46128,101177,95564,86068,121443,113895,106569,75853
763:122266,121543,117718,95268,84575,82192,73414,62865,59149,58185
773:112836,103523,62134,105394,94677,58120,40275,28635,39526,7742
774:10,18,17,7,11,3,14,35,19,8
775:58805,94134,10,18,97719,66468,7,11,123185,49640
782:61300,100244,91066,76236,98332,65661,59696,87646,72666,118434
784:10,18,17,7,3,35,19,14,84114,72179
793:398,709,4756,40393,3448,116,13636,15937,3628,10075
803:88712,79582,122008,114314,106599,106464,103769,101501,101412,95732
813:10,18,17,118215,106309,101619,99714,75780,69480,11
815:37240,81255,123064,122269,122199,120307,120016,116643,116545,110184
817:122328,120649,119286,118142,116867,112550,106548,104525,104151,102658
818:83708,76837,120361,115341,114493,114308,111520,104536,100489,100212
823:111167,101594,97097,95360,82898,69198,65974,64891,63363,62285
825:10,18,11,7,69032,3,14,122656,121749,120560
833:10,18,11,7,3,14,8,35,19,103247
835:119778,113655,112579,112161,103834,103728,100559,95877,94467,94220
838:88044,63645,56917,50012,40170,18606,8066,25030,12119,17266
844:73737,64209,63027,123248,122598,122432,122337,121983,121463,121358
850:122457,121898,112262,102432,92905,85755,75257,73567,73373,58345
856:13498,5567,1958,19984,303,18505,709,73474,364,1101
857:98248,97938,76905,70019,60588,9372,121286,120157,115124,115106
874:10,18,7,11,3,14,35,19,68,98
891:122776,122560,122068,121851,121705,121364,121302,121156,120964,120734
899:108728,86149,75313,64209,122598,122533,122432,121983,121358,120233
900:121947,121905,120157,116822,115229,113806,111003,104580,103116,102305
911:118825,79029,121921,119249,117650,115752,115287,114822,111900,108821
918:97441,122536,122505,122392,122375,116252,112439,109621,108881,108490
925:20277,53142,52521,27108,13269,122739,121718,120362,119923,116983
926:121185,119713,118235,117685,113340,104929,101084,98172,94948,93999
937:87356,83517,104564,92145,79917,79743,68718,120327,118140,118139
949:121401,109411,107650,105059,96168,85203,73976,55555,31189,34453
964:43335,33639,32558,67929,61647,51008,44463,17596,5108,3207
970:83571,100326,67160,62975,117007,113837,109720,102491,88330,87089
977:81833,17,18,120784,120011,115278,112047,97995,92699,86031
981:112002,106475,122290,113860,113829,107450,105151,99395,94632,91955
982:68261,62656,60986,56229,51661,40326,28231,25053,19118,594
984:115616,18,17,10,108280,102076,73651,57214,120810,120784
992:85642,119700,105266,78182,74308,63400,48712,41386,109647,108881
993:90261,70019,18057,123218,123115,123050,122776,122637,122614,122600
998:76092,97205,73575,72099,63877,122845,122536,122505,122392,122375
1000:10,17,18,11,7,3,14,99769,8,123161
1007:121286,115124,115106,113263,107720,98986,97938,92761,79573,77419
1027:129,78,40015,22343,122640,120361,119257,119229,118074,117415
